"arch","lambda","seed","threshold","Acc","Spec","Sens","BalAcc","Acc_flip","is_MC"
"TCN",0.1,98,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"TCN",0.1,98,0.35,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"TCN",0.1,98,0.4,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"TCN",0.1,98,0.45,0.472131147540984,0.0340136054421769,0.879746835443038,0.456880220442607,0.527868852459016,FALSE
"TCN",0.1,98,0.5,0.429508196721311,0.224489795918367,0.620253164556962,0.422371480237665,0.570491803278689,FALSE
"TCN",0.1,98,0.55,0.468852459016393,0.768707482993197,0.189873417721519,0.479290450357358,0.531147540983607,FALSE
"TCN",0.1,98,0.6,0.495081967213115,0.938775510204082,0.0822784810126582,0.51052699560837,0.504918032786885,FALSE
"TCN",0.1,98,0.65,0.488524590163934,0.979591836734694,0.0316455696202532,0.505618703177473,0.511475409836066,FALSE
"TCN",0.1,98,0.7,0.481967213114754,0.979591836734694,0.0189873417721519,0.499289589253423,0.518032786885246,FALSE
"TCN",0.1,41,0.3,0.518032786885246,0.00680272108843537,0.993670886075949,0.500236803582192,0.481967213114754,FALSE
"TCN",0.1,41,0.35,0.518032786885246,0.0204081632653061,0.981012658227848,0.500710410746577,0.481967213114754,FALSE
"TCN",0.1,41,0.4,0.501639344262295,0.0272108843537415,0.943037974683544,0.485124429518643,0.498360655737705,FALSE
"TCN",0.1,41,0.45,0.468852459016393,0.108843537414966,0.80379746835443,0.456320502884698,0.531147540983607,FALSE
"TCN",0.1,41,0.5,0.416393442622951,0.428571428571429,0.40506329113924,0.416817359855335,0.583606557377049,FALSE
"TCN",0.1,41,0.55,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"TCN",0.1,41,0.6,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"TCN",0.1,41,0.65,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"TCN",0.1,41,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"TCN",0.1,64,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"TCN",0.1,64,0.35,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"TCN",0.1,64,0.4,0.514754098360656,0.0136054421768707,0.981012658227848,0.497309050202359,0.485245901639344,FALSE
"TCN",0.1,64,0.45,0.478688524590164,0.0884353741496599,0.841772151898734,0.465103763024197,0.521311475409836,FALSE
"TCN",0.1,64,0.5,0.419672131147541,0.421768707482993,0.417721518987342,0.419745113235167,0.580327868852459,FALSE
"TCN",0.1,64,0.55,0.468852459016393,0.965986394557823,0.00632911392405063,0.486157754240937,0.531147540983607,FALSE
"TCN",0.1,64,0.6,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"TCN",0.1,64,0.65,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"TCN",0.1,64,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
