"lambda","seed","threshold","Acc_val","BalAcc_val","F1_val","Sens_val","Spec_val","Acc_test","BalAcc_test","F1_test","Sens_test","Spec_test","is_MC_test"
0.1,98,0.6,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,TRUE
0.1,98,0.65,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,TRUE
0.1,98,0.7,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,TRUE
0.1,41,0.3,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,TRUE
0.1,41,0.35,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,TRUE
0.1,41,0.4,0.506578947368421,0.497033990041134,0.669603524229075,0.980645161290323,0.0134228187919463,0.511475409836066,0.493907689658142,0.675381263616558,0.981012658227848,0.00680272108843537,FALSE
0.1,41,0.45,0.542763157894737,0.534726131197229,0.677494199535963,0.941935483870968,0.12751677852349,0.478688524590164,0.464630155859812,0.629370629370629,0.854430379746835,0.0748299319727891,FALSE
0.1,41,0.5,0.549342105263158,0.549751028361117,0.54485049833887,0.529032258064516,0.570469798657718,0.416393442622951,0.418001377766296,0.398648648648649,0.373417721518987,0.462585034013605,FALSE
0.1,41,0.55,0.5,0.508768131630223,0.116279069767442,0.0645161290322581,0.953020134228188,0.468852459016393,0.485920950658744,0.0240963855421687,0.0126582278481013,0.959183673469388,FALSE
0.1,41,0.6,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,TRUE
0.1,41,0.65,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,TRUE
0.1,41,0.7,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,TRUE
0.1,64,0.3,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,TRUE
0.1,64,0.35,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,TRUE
0.1,64,0.4,0.506578947368421,0.496904091794761,0.671052631578947,0.987096774193548,0.00671140939597315,0.511475409836066,0.494144493240334,0.673960612691466,0.974683544303797,0.0136054421768707,FALSE
0.1,64,0.45,0.529605263157895,0.521303312405282,0.671264367816092,0.941935483870968,0.100671140939597,0.462295081967213,0.447623353138724,0.622119815668203,0.854430379746835,0.0408163265306122,FALSE
0.1,64,0.5,0.546052631578947,0.544057155228404,0.591715976331361,0.645161290322581,0.442953020134228,0.39672131147541,0.394041160768105,0.44578313253012,0.468354430379747,0.319727891156463,FALSE
0.1,64,0.55,0.486842105263158,0.494825719852782,0.152173913043478,0.0903225806451613,0.899328859060403,0.478688524590164,0.494467407216051,0.101694915254237,0.0569620253164557,0.931972789115646,FALSE
0.1,64,0.6,0.496710526315789,0.506451612903226,0.0254777070063694,0.0129032258064516,1,0.481967213114754,0.5,NA,0,1,TRUE
0.1,64,0.65,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,TRUE
0.1,64,0.7,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,TRUE
