"arch","lambda","seed","threshold","Acc","Spec","Sens","BalAcc","Acc_flip","is_MC"
"Transformer",0.1,23,0.4,0.462295081967213,0.0748299319727891,0.822784810126582,0.448807371049686,0.537704918032787,FALSE
"Transformer",0.1,23,0.45,0.426229508196721,0.231292517006803,0.607594936708861,0.419443726857832,0.573770491803279,FALSE
"Transformer",0.1,23,0.5,0.472131147540984,0.782312925170068,0.183544303797468,0.482928614483768,0.527868852459016,FALSE
"Transformer",0.1,23,0.55,0.475409836065574,0.952380952380952,0.0316455696202532,0.492013261000603,0.524590163934426,FALSE
"Transformer",0.1,23,0.6,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Transformer",0.1,23,0.65,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Transformer",0.1,23,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Transformer",0.1,27,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Transformer",0.1,27,0.35,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Transformer",0.1,27,0.4,0.495081967213115,0.0408163265306122,0.917721518987342,0.479268922758977,0.504918032786885,FALSE
"Transformer",0.1,27,0.45,0.465573770491803,0.156462585034014,0.753164556962025,0.454813570998019,0.534426229508197,FALSE
"Transformer",0.1,27,0.5,0.383606557377049,0.374149659863946,0.392405063291139,0.383277361577542,0.616393442622951,FALSE
"Transformer",0.1,27,0.55,0.39672131147541,0.659863945578231,0.151898734177215,0.405881339877723,0.60327868852459,FALSE
"Transformer",0.1,27,0.6,0.459016393442623,0.918367346938776,0.0316455696202532,0.475006458279514,0.540983606557377,FALSE
"Transformer",0.1,27,0.65,0.481967213114754,0.993197278911565,0.00632911392405063,0.499763196417808,0.518032786885246,FALSE
"Transformer",0.1,27,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Transformer",0.1,98,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Transformer",0.1,98,0.35,0.462295081967213,0.217687074829932,0.689873417721519,0.453780246275725,0.537704918032787,FALSE
"Transformer",0.1,98,0.4,0.4,0.353741496598639,0.443037974683544,0.398389735641092,0.6,FALSE
"Transformer",0.1,98,0.45,0.40655737704918,0.598639455782313,0.227848101265823,0.413243778524068,0.59344262295082,FALSE
"Transformer",0.1,98,0.5,0.465573770491803,0.836734693877551,0.120253164556962,0.478493929217257,0.534426229508197,FALSE
"Transformer",0.1,98,0.55,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Transformer",0.1,98,0.6,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Transformer",0.1,98,0.65,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Transformer",0.1,98,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Transformer",0.1,41,0.3,0.518032786885246,0.00680272108843537,0.993670886075949,0.500236803582192,0.481967213114754,FALSE
"Transformer",0.1,41,0.35,0.514754098360656,0.0204081632653061,0.974683544303797,0.497545853784552,0.485245901639344,FALSE
"Transformer",0.1,41,0.4,0.449180327868852,0.149659863945578,0.727848101265823,0.438753982605701,0.550819672131148,FALSE
"Transformer",0.1,41,0.45,0.468852459016393,0.346938775510204,0.582278481012658,0.464608628261431,0.531147540983607,FALSE
"Transformer",0.1,41,0.5,0.462295081967213,0.761904761904762,0.183544303797468,0.472724532851115,0.537704918032787,FALSE
"Transformer",0.1,41,0.55,0.449180327868852,0.870748299319728,0.0569620253164557,0.463855162318092,0.550819672131148,FALSE
"Transformer",0.1,41,0.6,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Transformer",0.1,41,0.65,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Transformer",0.1,41,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Transformer",0.1,64,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"Transformer",0.1,64,0.35,0.504918032786885,0,0.974683544303797,0.487341772151899,0.495081967213115,TRUE
"Transformer",0.1,64,0.4,0.481967213114754,0.0408163265306122,0.892405063291139,0.466610694910876,0.518032786885246,FALSE
"Transformer",0.1,64,0.45,0.449180327868852,0.129251700680272,0.746835443037975,0.438043571859123,0.550819672131148,FALSE
"Transformer",0.1,64,0.5,0.370491803278689,0.537414965986395,0.215189873417722,0.376302419702058,0.629508196721311,FALSE
"Transformer",0.1,64,0.55,0.445901639344262,0.877551020408163,0.0443037974683544,0.460927408938259,0.554098360655738,FALSE
"Transformer",0.1,64,0.6,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Transformer",0.1,64,0.65,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"Transformer",0.1,64,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
